task_id,sub_plan,task_name,priority,status,depends_on,notes
1.1,1_التخطيط,تصحيح الصف من الثاني إلى الأول الثانوي في سطر 4,عالية,pending,,
1.2,1_التخطيط,إضافة تبرير عدم الاستعانة بمبرمج,عالية,pending,,
1.3,1_التخطيط,إعادة هيكلة المهام كنقاط مرقمة بداش (7-8 نقاط),عالية,pending,,
1.4,1_التخطيط,"تصحيح اسم الأداة: ""اختبار مهارات حل المشكلات"" وليس ""تحصيلي""",عالية,pending,,
1.5,1_التخطيط,مراجعة اتساق المصطلحات مع الإطار النظري,متوسطة,pending,,
1.6,1_التخطيط,فقرة انتقالية لمرحلة التحليل,منخفضة,pending,1.3,
2.1,2_التحليل,تعبئة جدول (1) — 5 أهداف عامة,عالية,pending,,
2.2,2_التحليل,تعبئة جدول (2) — المواقف والموارد والقيود,عالية,pending,,
2.3,2_التحليل,نقل الجداول لأماكنها الصحيحة,عالية,pending,2.1;2.2,
2.4,2_التحليل,وصف هرمي لتحليل المهمات (مهمة → فرعية → مهارة),عالية,pending,,
2.5,2_التحليل,"قائمة مهارات حل المشكلات: تحديد → جمع → فروض → اختيار → تقويم",عالية,pending,,
2.6,2_التحليل,تاريخ الدراسة الاستكشافية + رقم الملحق,متوسطة,pending,,
2.7,2_التحليل,مراجعة أسلوبية,متوسطة,pending,,
3.0,3_تصميم_المحتوى,"تصحيح سطر 71: م1=تنافسي+مفتوح (وليس تشاركي!)",عالية,pending,,خطأ حرج
3.1,3_تصميم_المحتوى,"سيناريو م1 (تنافسي+مفتوح): فردي + مسابقة + بدون حد زمني",عالية,pending,3.0,
3.2,3_تصميم_المحتوى,"سيناريو م2 (تنافسي+محدد): فردي + مسابقة + deadline",عالية,pending,3.1,
3.3,3_تصميم_المحتوى,"سيناريو م3 (تشاركي+مفتوح): مجموعات + تقسيم مهمة + بدون حد زمني",عالية,pending,3.1,
3.4,3_تصميم_المحتوى,"سيناريو م4 (تشاركي+محدد): مجموعات + deadline",عالية,pending,3.1,
